time:0.7276 rot_x:-3.83 gyro_x:14.49 last_x:-2.16 rot_y:3.59 gyro_x:19.92 last_y:5.06 
time:0.7350 rot_x:-2.71 gyro_x:14.71 last_x:-1.95 rot_y:2.04 gyro_x:20.07 last_y:5.15 
time:0.7424 rot_x:-2.46 gyro_x:14.88 last_x:-1.79 rot_y:1.03 gyro_x:20.20 last_y:5.19 
time:0.7498 rot_x:-3.78 gyro_x:15.01 last_x:-1.71 rot_y:-0.26 gyro_x:20.29 last_y:5.17 
time:0.7571 rot_x:-2.64 gyro_x:15.07 last_x:-1.66 rot_y:-0.89 gyro_x:20.37 last_y:5.13 
time:0.7645 rot_x:0.42 gyro_x:15.09 last_x:-1.60 rot_y:-1.28 gyro_x:20.44 last_y:5.07 
time:0.7719 rot_x:-0.14 gyro_x:15.04 last_x:-1.63 rot_y:-0.15 gyro_x:20.50 last_y:5.02 
time:0.7792 rot_x:-3.18 gyro_x:14.91 last_x:-1.78 rot_y:1.03 gyro_x:20.50 last_y:4.94 
time:0.7866 rot_x:-6.94 gyro_x:14.72 last_x:-2.07 rot_y:1.23 gyro_x:20.49 last_y:4.85 
time:0.7939 rot_x:-9.94 gyro_x:14.55 last_x:-2.40 rot_y:-0.13 gyro_x:20.49 last_y:4.75 
time:0.8013 rot_x:-11.92 gyro_x:14.42 last_x:-2.71 rot_y:-2.61 gyro_x:20.55 last_y:4.66 
time:0.8087 rot_x:-11.82 gyro_x:14.36 last_x:-2.96 rot_y:-4.74 gyro_x:20.66 last_y:4.59 
time:0.8161 rot_x:-11.35 gyro_x:14.34 last_x:-3.14 rot_y:-4.69 gyro_x:20.79 last_y:4.53 
time:0.8235 rot_x:-10.50 gyro_x:14.36 last_x:-3.27 rot_y:-2.71 gyro_x:20.88 last_y:4.47 
time:0.8309 rot_x:-9.50 gyro_x:14.40 last_x:-3.36 rot_y:3.20 gyro_x:20.93 last_y:4.50 
time:0.8383 rot_x:-10.52 gyro_x:14.48 last_x:-3.42 rot_y:8.63 gyro_x:20.93 last_y:4.58 
time:0.8456 rot_x:-10.70 gyro_x:14.62 last_x:-3.43 rot_y:14.74 gyro_x:20.95 last_y:4.81 
time:0.8530 rot_x:-11.71 gyro_x:14.85 last_x:-3.37 rot_y:16.10 gyro_x:21.03 last_y:5.11 
time:0.8604 rot_x:-7.54 gyro_x:15.15 last_x:-3.16 rot_y:10.53 gyro_x:21.21 last_y:5.39 
