time:0.9434 rot_x:32.47 gyro_x:36.88 last_x:27.94 rot_y:-45.40 gyro_x:-19.38 last_y:-40.89 
time:0.9507 rot_x:30.24 gyro_x:36.95 last_x:28.06 rot_y:-43.33 gyro_x:-19.15 last_y:-40.70 
time:0.9580 rot_x:29.37 gyro_x:36.99 last_x:28.12 rot_y:-42.65 gyro_x:-18.94 last_y:-40.54 
time:0.9654 rot_x:31.71 gyro_x:37.01 last_x:28.21 rot_y:-42.99 gyro_x:-18.75 last_y:-40.40 
time:0.9727 rot_x:31.19 gyro_x:37.04 last_x:28.30 rot_y:-42.91 gyro_x:-18.53 last_y:-40.24 
time:0.9801 rot_x:28.76 gyro_x:37.07 last_x:28.33 rot_y:-40.59 gyro_x:-18.30 last_y:-40.02 
time:0.9874 rot_x:28.74 gyro_x:37.05 last_x:28.33 rot_y:-39.08 gyro_x:-18.09 last_y:-39.80 
time:0.9947 rot_x:29.22 gyro_x:37.00 last_x:28.29 rot_y:-40.37 gyro_x:-17.95 last_y:-39.66 
time:1.0020 rot_x:30.64 gyro_x:36.92 last_x:28.26 rot_y:-42.84 gyro_x:-17.81 last_y:-39.59 
time:1.0094 rot_x:31.20 gyro_x:36.88 last_x:28.28 rot_y:-43.68 gyro_x:-17.64 last_y:-39.51 
time:1.0167 rot_x:29.68 gyro_x:36.87 last_x:28.30 rot_y:-44.11 gyro_x:-17.45 last_y:-39.42 
time:1.0241 rot_x:28.70 gyro_x:36.84 last_x:28.28 rot_y:-43.48 gyro_x:-17.28 last_y:-39.33 
time:1.0314 rot_x:30.53 gyro_x:36.80 last_x:28.28 rot_y:-44.12 gyro_x:-17.15 last_y:-39.30 
time:1.0387 rot_x:31.02 gyro_x:36.76 last_x:28.30 rot_y:-45.34 gyro_x:-17.03 last_y:-39.30 
time:1.0461 rot_x:30.59 gyro_x:36.75 last_x:28.34 rot_y:-43.94 gyro_x:-16.90 last_y:-39.26 
time:1.0533 rot_x:28.79 gyro_x:36.76 last_x:28.35 rot_y:-42.81 gyro_x:-16.75 last_y:-39.20 
time:1.0607 rot_x:27.77 gyro_x:36.77 last_x:28.35 rot_y:-42.15 gyro_x:-16.61 last_y:-39.11 
time:1.0680 rot_x:29.36 gyro_x:36.77 last_x:28.37 rot_y:-41.65 gyro_x:-16.47 last_y:-39.03 
time:1.0754 rot_x:29.20 gyro_x:36.73 last_x:28.35 rot_y:-41.12 gyro_x:-16.38 last_y:-38.99 
time:1.0827 rot_x:27.50 gyro_x:36.66 last_x:28.26 rot_y:-40.95 gyro_x:-16.35 last_y:-38.99 
time:1.0901 rot_x:28.03 gyro_x:36.54 last_x:28.15 rot_y:-41.28 gyro_x:-16.34 last_y:-39.02 
time:1.0974 rot_x:29.60 gyro_x:36.40 last_x:28.04 rot_y:-43.00 gyro_x:-16.34 last_y:-39.11 
time:1.1047 rot_x:29.84 gyro_x:36.27 last_x:27.94 rot_y:-44.42 gyro_x:-16.37 last_y:-39.24 
time:1.1121 rot_x:29.00 gyro_x:36.13 last_x:27.83 rot_y:-45.75 gyro_x:-16.39 last_y:-39.39 
time:1.1194 rot_x:29.35 gyro_x:36.00 last_x:27.73 rot_y:-47.50 gyro_x:-16.40 last_y:-39.56 
time:1.1268 rot_x:31.48 gyro_x:35.90 last_x:27.71 rot_y:-47.39 gyro_x:-16.38 last_y:-39.70 
time:1.1341 rot_x:31.78 gyro_x:35.85 last_x:27.74 rot_y:-46.59 gyro_x:-16.33 last_y:-39.78 
time:1.1414 rot_x:31.36 gyro_x:35.84 last_x:27.81 rot_y:-44.93 gyro_x:-16.22 last_y:-39.78 
